name,lat,lon
FCI Safford,32.7157185,-109.7251827
FCI Phoenix Camp,33.8322475,-112.1621952
FCI Phoenix,33.8322475,-112.1621952
USP Tucson,32.0914145,-110.857379
USP Tucson Camp,32.0914145,-110.857379
FCI Tucson,32.0909043,-110.8572123
Douglas,31.4455211,-109.6000765
Safford,32.8303984,-109.5624167
Lewis,33.2084657,-112.6503294
Perryville,33.470766,-112.4422396
Phoenix,33.4527786,-112.0259295
Phoenix West,33.4327911,-112.1325109
Kingman,35.03242,-114.1802443
Willow,34.9847281,-110.7183538
Marana,32.4189846,-111.2416523
Tucson,32.066176,-110.8606471
Central Arizona Correctional Facility (CACF),33.0375519,-111.3745947
Eyman,33.0336533,-111.3356162
Florence West,33.0364659,-111.3767481
La Palma,32.8144853,-111.5288556
Red Rock Correctional Center,32.8096562,-111.519319
Yuma,32.494154,-114.7834866
Arizona State Prison - ASP Florence West - GEO,33.0364659,-111.3767481
Arizona State Prison - ASP Kingman - Cerbat Unit - MTC,35.0324193,-114.180299
Arizona State Prison - ASP Kingman - Hualapai Unit - MTC,35.0324193,-114.180299
Arizona State Prison - ASP Kingman - MTC,35.03242,-114.1802443
Arizona State Prison - ASP Phoenix West - GEO,33.4327911,-112.1325109
Arizona State Prison Marana - MTC,32.4189846,-111.2416523
ASP - Central Arizona Correctional Facility - GEO,33.0375519,-111.3745947
Central Arizona Detention Center - CCA,33.0435332,-111.3774191
Eloy Detention Center - CCA (ICE),32.8176183,-111.5200907
Florence Correctional Center - CCA (ICE),33.0440833,-111.3717718
La Palma Correctional Center - CCA,32.8144853,-111.5288556
Red Rock Correctional Center - CCA,32.8096562,-111.519319
Saguaro Correctional Center - CCA,32.8079801,-111.5257299
San Luis Regional Detention Center (SLRDC) - Emerald,32.4828449,-114.6835588
Eloy Detention Center - CCA (ICE),32.8176183,-111.5200907
Florence Correctional Center - CCA (ICE),33.0440833,-111.3717718
La Palma Correctional Center - CCA,32.8144853,-111.5288556
Red Rock Correctional Center - CCA,32.8096562,-111.519319
Saguaro Correctional Center - CCA,32.8079801,-111.5257299
San Luis Regional Detention Center (SLRDC) - Emerald,32.4828449,-114.6835588
