"m_id","me_id","employer_name","pln_acronym","tier_no","hire_dt","term_dt","total_service","hire_yr","employer_name_duplicate","level","combined_id","birth_dt","age_based_on_2024","age_at_hire"
30785,149873,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1976-09-28","",47.822,1976,"DEPT OF JUVENILE CORRECTIONS-CORP","State","30785-149873",1949,75,27
100635,125445,"DEPARTMENT OF CORRECTIONS","CORP",1,"1979-01-14","1993-01-22",19.366,1979,"DEPARTMENT OF CORRECTIONS - CORP","State","100635-125445",1954,70,25
84718,222241,"DEPARTMENT OF CORRECTIONS","CORP",1,"1982-05-10","1994-01-21",11.704,1982,"DEPARTMENT OF CORRECTIONS - CORP","State","84718-222241",1955,69,27
116118,226795,"MARICOPA COUNTY","CORP",1,"1983-05-16","2002-04-24",18.943,1983,"MARICOPA COUNTY - CORP","County","116118-226795",1959,65,24
11587,183303,"DEPARTMENT OF CORRECTIONS","CORP",1,"1983-10-03","1990-06-01",6.664,1983,"DEPARTMENT OF CORRECTIONS - CORP","State","11587-183303",1959,65,24
113427,242512,"DEPARTMENT OF CORRECTIONS","CORP",1,"1983-12-05","2020-08-31",36.742,1983,"DEPARTMENT OF CORRECTIONS - CORP","State","113427-242512",1960,64,23
11541,183772,"DEPARTMENT OF CORRECTIONS","CORP",1,"1984-08-20","2023-04-28",44.889,1984,"DEPARTMENT OF CORRECTIONS - CORP","State","11541-183772",1956,68,28
71692,181259,"MARICOPA COUNTY","CORP",1,"1985-04-29","2019-08-23",34.319,1985,"MARICOPA COUNTY - CORP","County","71692-181259",1957,67,28
36342,244275,"MARICOPA COUNTY","CORP",1,"1985-07-01","2019-07-27",34.073,1985,"MARICOPA COUNTY - CORP","County","36342-244275",1959,65,26
3628,265051,"DEPARTMENT OF CORRECTIONS","CORP",1,"1985-08-19","2017-09-30",32.118,1985,"DEPARTMENT OF CORRECTIONS - CORP","State","3628-265051",1964,60,21
69604,256149,"MARICOPA COUNTY","CORP",1,"1985-09-01","",38.897,1985,"MARICOPA COUNTY - CORP","County","69604-256149",1960,64,25
63236,160045,"MARICOPA COUNTY","CORP",1,"1985-12-09","2017-12-29",32.057,1985,"MARICOPA COUNTY - CORP","County","63236-160045",1962,62,23
120022,168368,"DEPARTMENT OF CORRECTIONS","CORP",1,"1986-04-14","2021-12-31",35.718,1986,"DEPARTMENT OF CORRECTIONS - CORP","State","120022-168368",1958,66,28
112650,254071,"MARICOPA COUNTY","CORP",1,"1986-08-18","",37.936,1986,"MARICOPA COUNTY - CORP","County","112650-254071",1960,64,26
103100,179216,"DEPARTMENT OF CORRECTIONS","CORP",1,"1986-08-18","1989-08-28",3.031,1986,"DEPARTMENT OF CORRECTIONS - CORP","State","103100-179216",1950,74,36
114737,204093,"MARICOPA COUNTY","CORP",1,"1986-11-17","2018-02-28",31.285,1986,"MARICOPA COUNTY - CORP","County","114737-204093",1952,72,34
14272,168672,"PIMA COUNTY","CORP",1,"1986-12-21","2019-03-22",32.252,1986,"PIMA COUNTY - CORP","County","14272-168672",1953,71,33
25861,199236,"PIMA COUNTY","CORP",1,"1987-03-01","",37.402,1987,"PIMA COUNTY - CORP","County","25861-199236",1964,60,23
6766,196116,"MARICOPA COUNTY","CORP",1,"1987-04-20","2013-11-01",26.538,1987,"MARICOPA COUNTY - CORP","County","6766-196116",1963,61,24
95771,139428,"DEPARTMENT OF CORRECTIONS","CORP",1,"1987-07-06","2020-08-21",33.131,1987,"DEPARTMENT OF CORRECTIONS - CORP","State","95771-139428",1957,67,30
110858,164663,"DEPARTMENT OF CORRECTIONS","CORP",1,"1987-08-31","2018-06-15",30.793,1987,"DEPARTMENT OF CORRECTIONS - CORP","State","110858-164663",1966,58,21
59458,253423,"DEPARTMENT OF CORRECTIONS","CORP",1,"1987-10-12","2017-12-31",30.223,1987,"DEPARTMENT OF CORRECTIONS - CORP","State","59458-253423",1953,71,34
32813,218020,"MARICOPA COUNTY","CORP",1,"1987-10-31","2019-04-11",31.447,1987,"MARICOPA COUNTY - CORP","County","32813-218020",1962,62,25
17428,256521,"MARICOPA COUNTY","CORP",1,"1987-10-31","",36.734,1987,"MARICOPA COUNTY - CORP","County","17428-256521",1961,63,26
120837,182436,"MARICOPA COUNTY","CORP",1,"1987-12-14","2020-12-21",33.024,1987,"MARICOPA COUNTY - CORP","County","120837-182436",1959,65,28
80898,165882,"DEPARTMENT OF CORRECTIONS","CORP",1,"1987-12-28","2018-03-01",30.177,1987,"DEPARTMENT OF CORRECTIONS - CORP","State","80898-165882",1958,66,29
62918,204459,"PIMA COUNTY","CORP",1,"1988-01-10","2024-01-27",36.049,1988,"PIMA COUNTY - CORP","County","62918-204459",1961,63,27
54854,216528,"MARICOPA COUNTY","CORP",1,"1988-03-07","2014-04-01",26.07,1988,"MARICOPA COUNTY - CORP","County","54854-216528",1960,64,28
44566,204545,"MARICOPA COUNTY","CORP",1,"1988-03-21","2020-09-16",32.493,1988,"MARICOPA COUNTY - CORP","County","44566-204545",1966,58,22
91308,145387,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-05-09","2021-06-25",33.131,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","91308-145387",1953,71,35
28805,242500,"MARICOPA COUNTY","CORP",1,"1988-07-11","",36.038,1988,"MARICOPA COUNTY - CORP","County","28805-242500",1958,66,30
97147,151395,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-07-25","2023-08-31",35.102,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","97147-151395",1959,65,29
117540,263503,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-08-01","2017-09-01",29.087,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","117540-263503",1964,60,24
18502,131355,"MARICOPA COUNTY","CORP",1,"1988-08-08","2016-09-01",28.068,1988,"MARICOPA COUNTY - CORP","County","18502-131355",1965,59,23
17771,129044,"MARICOPA COUNTY","CORP",1,"1988-08-08","2021-06-27",34.887,1988,"MARICOPA COUNTY - CORP","County","17771-129044",1962,62,26
103763,197850,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-08-15","2023-08-18",35.009,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","103763-197850",1958,66,30
69726,254828,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1988-09-12","2018-03-31",29.55,1988,"DEPT OF JUVENILE CORRECTIONS-CORP","State","69726-254828",1965,59,23
2795,244241,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1988-10-03","2018-03-13",29.443,1988,"DEPT OF JUVENILE CORRECTIONS-CORP","State","2795-244241",1952,72,36
120908,153434,"MARICOPA COUNTY","CORP",1,"1988-10-03","",35.808,1988,"MARICOPA COUNTY - CORP","County","120908-153434",1960,64,28
103630,199635,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1988-10-17","",35.77,1988,"DEPT OF JUVENILE CORRECTIONS-CORP","State","103630-199635",1953,71,35
63942,154012,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-10-17","2017-12-29",29.202,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","63942-154012",1959,65,29
54495,143207,"DEPARTMENT OF CORRECTIONS","CORP",1,"1988-12-05","2019-01-25",30.141,1988,"DEPARTMENT OF CORRECTIONS - CORP","State","54495-143207",1961,63,27
27163,151752,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-01-29","1992-04-19",11.032,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","27163-151752",1957,67,32
94486,167525,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-03-27","2020-03-27",31.003,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","94486-167525",1952,72,37
42308,227104,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-04-17","2019-01-31",29.793,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","42308-227104",1963,61,26
79357,162409,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-05-01","2017-09-08",28.359,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","79357-162409",1967,57,22
118868,229713,"DEPARTMENT OF CORRECTIONS","CORP",1,"1989-05-22","2019-05-31",30.026,1989,"DEPARTMENT OF CORRECTIONS - CORP","State","118868-229713",1953,71,36
