"m_id","me_id","employer_name","pln_acronym","tier_no","hire_dt","term_dt","total_service","hire_yr","employer_name_duplicate","level","combined_id","birth_yr","age_based_on_2024","age_at_hire","no_me_id"
30785,149873,"DEPT OF JUVENILE CORRECTIONS","CORP",1,"1976-09-28","",47.822,1976,"DEPT OF JUVENILE CORRECTIONS-CORP","State","30785-149873",1949,75,27,1
100635,125445,"DEPARTMENT OF CORRECTIONS","CORP",1,"1979-01-14","1993-01-22",19.366,1979,"DEPARTMENT OF CORRECTIONS - CORP","State","100635-125445",1954,70,25,1
84718,222241,"DEPARTMENT OF CORRECTIONS","CORP",1,"1982-05-10","1994-01-21",11.704,1982,"DEPARTMENT OF CORRECTIONS - CORP","State","84718-222241",1955,69,27,1
116118,226795,"MARICOPA COUNTY","CORP",1,"1983-05-16","2002-04-24",18.943,1983,"MARICOPA COUNTY - CORP","County","116118-226795",1959,65,24,1
11587,183303,"DEPARTMENT OF CORRECTIONS","CORP",1,"1983-10-03","1990-06-01",6.664,1983,"DEPARTMENT OF CORRECTIONS - CORP","State","11587-183303",1959,65,24,1
113427,242512,"DEPARTMENT OF CORRECTIONS","CORP",1,"1983-12-05","2020-08-31",36.742,1983,"DEPARTMENT OF CORRECTIONS - CORP","State","113427-242512",1960,64,23,1
11541,183772,"DEPARTMENT OF CORRECTIONS","CORP",1,"1984-08-20","2023-04-28",44.889,1984,"DEPARTMENT OF CORRECTIONS - CORP","State","11541-183772",1956,68,28,1
71692,181259,"MARICOPA COUNTY","CORP",1,"1985-04-29","2019-08-23",34.319,1985,"MARICOPA COUNTY - CORP","County","71692-181259",1957,67,28,1
36342,244275,"MARICOPA COUNTY","CORP",1,"1985-07-01","2019-07-27",34.073,1985,"MARICOPA COUNTY - CORP","County","36342-244275",1959,65,26,1
3628,265051,"DEPARTMENT OF CORRECTIONS","CORP",1,"1985-08-19","2017-09-30",32.118,1985,"DEPARTMENT OF CORRECTIONS - CORP","State","3628-265051",1964,60,21,1
69604,256149,"MARICOPA COUNTY","CORP",1,"1985-09-01","",38.897,1985,"MARICOPA COUNTY - CORP","County","69604-256149",1960,64,25,1
63236,160045,"MARICOPA COUNTY","CORP",1,"1985-12-09","2017-12-29",32.057,1985,"MARICOPA COUNTY - CORP","County","63236-160045",1962,62,23,1
120022,168368,"DEPARTMENT OF CORRECTIONS","CORP",1,"1986-04-14","2021-12-31",35.718,1986,"DEPARTMENT OF CORRECTIONS - CORP","State","120022-168368",1958,66,28,1
112650,254071,"MARICOPA COUNTY","CORP",1,"1986-08-18","",37.936,1986,"MARICOPA COUNTY - CORP","County","112650-254071",1960,64,26,1
103100,179216,"DEPARTMENT OF CORRECTIONS","CORP",1,"1986-08-18","1989-08-28",3.031,1986,"DEPARTMENT OF CORRECTIONS - CORP","State","103100-179216",1950,74,36,1
114737,204093,"MARICOPA COUNTY","CORP",1,"1986-11-17","2018-02-28",31.285,1986,"MARICOPA COUNTY - CORP","County","114737-204093",1952,72,34,1
14272,168672,"PIMA COUNTY","CORP",1,"1986-12-21","2019-03-22",32.252,1986,"PIMA COUNTY - CORP","County","14272-168672",1953,71,33,1
25861,199236,"PIMA COUNTY","CORP",1,"1987-03-01","",37.402,1987,"PIMA COUNTY - CORP","County","25861-199236",1964,60,23,1
6766,196116,"MARICOPA COUNTY","CORP",1,"1987-04-20","2013-11-01",26.538,1987,"MARICOPA COUNTY - CORP","County","6766-196116",1963,61,24,1
95771,139428,"DEPARTMENT OF CORRECTIONS","CORP",1,"1987-07-06","2020-08-21",33.131,1987,"DEPARTMENT OF CORRECTIONS - CORP","State","95771-139428",1957,67,30,1
110858,164663,"DEPARTMENT OF CORRECTIONS","CORP",1,"1987-08-31","2018-06-15",30.793,1987,"DEPARTMENT OF CORRECTIONS - CORP","State","110858-164663",1966,58,21,1
59458,253423,"DEPARTMENT OF CORRECTIONS","CORP",1,"1987-10-12","2017-12-31",30.223,1987,"DEPARTMENT OF CORRECTIONS - CORP","State","59458-253423",1953,71,34,1
32813,218020,"MARICOPA COUNTY","CORP",1,"1987-10-31","2019-04-11",31.447,1987,"MARICOPA COUNTY - CORP","County","32813-218020",1962,62,25,1
17428,256521,"MARICOPA COUNTY","CORP",1,"1987-10-31","",36.734,1987,"MARICOPA COUNTY - CORP","County","17428-256521",1961,63,26,1
120837,182436,"MARICOPA COUNTY","CORP",1,"1987-12-14","2020-12-21",33.024,1987,"MARICOPA COUNTY - CORP","County","120837-182436",1959,65,28,1
80898,165882,"DEPARTMENT OF CORRECTIONS","CORP",1,"1987-12-28","2018-03-01",30.177,1987,"DEPARTMENT OF CORRECTIONS - CORP","State","80898-165882",1958,66,29,1
62918,204459,"PIMA COUNTY","CORP",1,"1988-01-10","2024-01-27",36.049,1988,"PIMA COUNTY - CORP","County","62918-204459",1961,63,27,1
54854,216528,"MARICOPA COUNTY","CORP",1,"1988-03-07","2014-04-01",26.07,1988,"MARICOPA COUNTY - CORP","County","54854-216528",1960,64,28,1
44566,204545,"MARICOPA COUNTY","CORP",1,"1988-03-21","2020-09-16",32.493,1988,"MARICOPA COUNTY - CORP","County","44566-204545",1966,58,22,1
